iter	MAPE
0	0.2252149771
1	0.2196102035
2	0.2147225212
3	0.2118406232
4	0.2072464332
5	0.2049085961
6	0.2003318899
7	0.197225665
8	0.1937368494
9	0.190051702
10	0.1859718314
11	0.1838350517
12	0.1817208418
13	0.1789312082
14	0.1756753378
15	0.1724621725
16	0.1695554546
17	0.1667891311
18	0.163150908
19	0.1607587378
20	0.1588582625
21	0.1566871138
22	0.1537094013
23	0.1491633446
24	0.1473798911
25	0.1436593157
26	0.1423787395
27	0.1387935585
28	0.1356802357
29	0.1338339141
30	0.1320402176
31	0.130407754
32	0.1280477351
33	0.1259393063
34	0.1246583969
35	0.1229716662
36	0.1213444721
37	0.1190948131
38	0.1174143974
39	0.1158004395
40	0.1144511407
41	0.1124901247
42	0.1114395825
43	0.1096646194
44	0.1089733363
45	0.1070108707
46	0.1053093043
47	0.1043305774
48	0.1022451113
49	0.09962275688
50	0.09880978463
51	0.09773111146
52	0.09663031287
53	0.09489493174
54	0.09348569366
55	0.09188941737
56	0.09112619029
57	0.08990852562
58	0.08932103613
59	0.08795403753
60	0.08690517914
61	0.08589166981
62	0.08507374687
63	0.0844568725
64	0.08342411427
65	0.08286967551
66	0.08198898766
67	0.08122207226
68	0.08042444149
69	0.07927994485
70	0.07812315011
71	0.07754444323
72	0.07680132431
73	0.07595961699
74	0.07533368854
75	0.07441871382
76	0.07314057778
77	0.07269340531
78	0.07212139121
79	0.0708102074
80	0.07015961686
81	0.0697318566
82	0.06928580238
83	0.06871774201
84	0.06837123169
85	0.06772651246
86	0.06651390214
87	0.06590564069
88	0.06555055937
89	0.0647489247
90	0.06414406173
91	0.0628174381
92	0.06208214531
93	0.0613534343
94	0.06060765486
95	0.06021122711
96	0.05953984493
97	0.05892245479
98	0.0583065079
99	0.05794522123
100	0.05733098818
101	0.05672751301
102	0.0559127423
103	0.05557953854
104	0.05504911157
105	0.05453520589
106	0.05425369911
107	0.05371553911
108	0.05312128924
109	0.05291383175
110	0.05256363303
111	0.05199052738
112	0.05152303811
113	0.05110146024
114	0.05070966407
115	0.0504389933
116	0.04996098721
117	0.04953425182
118	0.04887076535
119	0.04856393119
120	0.04813765696
121	0.04796908177
122	0.0477351913
123	0.0471194563
124	0.04656883325
125	0.04629070276
126	0.04573078289
127	0.04558241883
128	0.04511309687
129	0.04497909518
130	0.04433226236
131	0.04406805672
132	0.04353941499
133	0.04325579695
134	0.04289497127
135	0.04246749886
136	0.04199460914
137	0.04173177785
138	0.04150210673
139	0.04116278534
140	0.04078594724
141	0.04052415831
142	0.04025806901
143	0.04005403333
144	0.0395488669
145	0.03895781508
146	0.03862697666
147	0.03814807176
148	0.03773001576
149	0.03759169416
150	0.03732423546
151	0.03693060915
152	0.03683393036
153	0.03656328186
154	0.03649842192
155	0.03609569441
156	0.03565990571
157	0.03527944578
158	0.03523235233
159	0.03502950753
160	0.03487364614
161	0.03468872286
162	0.03432480936
163	0.0341351662
164	0.0340483155
165	0.03366927509
166	0.03352156529
167	0.03337393276
168	0.03331436911
169	0.03309703559
170	0.03300552203
171	0.03290285438
172	0.03281568185
173	0.03263923716
174	0.0325095282
175	0.03245023653
176	0.03226266769
177	0.0322201503
178	0.03193508515
179	0.03167762517
180	0.03163028974
181	0.03147865769
182	0.03128205046
183	0.03115791785
184	0.0311079972
185	0.03096349209
186	0.03075821734
187	0.03059594494
188	0.03023053166
189	0.03007764493
190	0.02991460563
191	0.02978035139
192	0.02962733187
193	0.02953648659
194	0.02941123817
195	0.02913465913
196	0.02897388908
197	0.02889706818
198	0.02877814378
199	0.02841197966
200	0.02835510199
201	0.0282003421
202	0.02809692866
203	0.02800970951
204	0.02789403533
205	0.02785061475
206	0.02778852953
207	0.02770677946
208	0.02758683404
209	0.02749342796
210	0.0274398028
211	0.02740423902
212	0.02738314788
213	0.02735228748
214	0.02730395742
215	0.02729174056
216	0.02708637594
217	0.02704182181
218	0.02696868516
219	0.02687239463
220	0.02675796417
221	0.02667814047
222	0.02661993594
223	0.02647307623
224	0.02639095971
225	0.02634150365
226	0.02617624325
227	0.02605490567
228	0.0259792043
229	0.02593859512
230	0.02589896984
231	0.0258675369
232	0.02584572557
233	0.02581245446
234	0.02564052304
235	0.02562638656
236	0.02540436357
237	0.02537032662
238	0.02526346525
239	0.02524982495
240	0.02519608066
241	0.02513831861
242	0.02502974286
243	0.02501325927
244	0.0248421665
245	0.02480203282
246	0.02474231641
247	0.02460773211
248	0.02439520987
249	0.02430649418
